import time: self [us] | cumulative | imported package
import time:       450 |        450 |             attr.filters
import time:      3321 |       3321 |             attr.validators
import time:       462 |        462 |             attr._cmp
import time:       441 |        441 |             attr._funcs
import time:       462 |        462 |             attr._next_gen
import time:       784 |        784 |             attr._version_info
import time:       924 |      13071 |           attr
import time:       650 |        650 |           attrs.converters
import time:       355 |        355 |           attrs.exceptions
import time:       366 |        366 |           attrs.filters
import time:       391 |        391 |           attrs.setters
import time:       347 |        347 |           attrs.validators
import time:       818 |      15995 |         attrs
import time:      3697 |       3697 |         cyclopts.utils
import time:       564 |      20256 |       cyclopts.annotations
import time:       999 |        999 |         cyclopts.command_spec
import time:      1396 |       1396 |         cyclopts.group
import time:      1038 |       1038 |         cyclopts.token
import time:      7151 |      10583 |       cyclopts.exceptions
import time:      1082 |       1082 |       cyclopts.field_info
import time:       726 |      32644 |     cyclopts._convert
import time:       439 |        439 |     cyclopts._env_var
import time:       488 |        488 |     cyclopts._result_action
import time:       461 |        461 |     cyclopts._run
import time:      2404 |       2404 |         cyclopts.parameter
import time:       545 |        545 |         cyclopts.argument.utils
import time:      2065 |       5013 |       cyclopts.argument._argument
import time:       658 |        658 |       cyclopts.argument._collection
import time:       743 |       6412 |     cyclopts.argument
import time:       801 |        801 |         cyclopts.group_extractors
import time:       518 |       1319 |       cyclopts.app_stack
import time:       669 |        669 |       cyclopts.bind
import time:      2692 |       2692 |           cyclopts.config._common
import time:       987 |        987 |           cyclopts.config._env
import time:       455 |        455 |           cyclopts.config._json
import time:       444 |        444 |           cyclopts.config._toml
import time:       444 |        444 |           cyclopts.config._yaml
import time:      1311 |       6330 |         cyclopts.config
import time:        23 |       6353 |       cyclopts.config._env
import time:       435 |        435 |       cyclopts.panel
import time:       482 |        482 |       cyclopts.protocols
import time:      2379 |       2379 |       readline
import time:      3476 |      15108 |     cyclopts.core
import time:      1006 |      57245 |   cyclopts
import time:       551 |        551 |             colorama.ansi
import time:        91 |         91 |               msvcrt
import time:       472 |        472 |               colorama.win32
import time:       523 |       1085 |             colorama.winterm
import time:       705 |       2340 |           colorama.ansitowin32
import time:       704 |       3043 |         colorama.initialise
