import time: self [us] | cumulative | imported package
import time:       183 |        183 |             matplotlib._layoutgrid
import time:       239 |        422 |           matplotlib._constrained_layout
import time:       122 |        122 |           matplotlib._tight_layout
import time:       189 |        732 |         matplotlib.layout_engine
import time:      1534 |      69284 |       matplotlib.backend_bases
import time:      4189 |      74931 |     matplotlib.image
import time:     50843 |      50843 |     matplotlib.style
import time:        87 |         87 |       matplotlib._blocking_input
import time:      5286 |       5286 |             matplotlib.offsetbox
import time:       175 |        175 |               matplotlib.units
import time:      5253 |       5427 |             matplotlib.axis
import time:       340 |        340 |             matplotlib.gridspec
import time:      1173 |       1173 |             matplotlib.spines
import time:      1975 |       1975 |             matplotlib.table
import time:      4709 |      18907 |           matplotlib.axes._base
import time:       747 |        747 |                   calendar
import time:       923 |        923 |                   six
import time:        89 |         89 |                   dateutil._common
import time:        40 |         40 |                     six.moves
import time:       176 |        176 |                     dateutil.tz._common
import time:       131 |        131 |                     dateutil.tz._factories
import time:        18 |         18 |                       six.moves.winreg
import time:       156 |        173 |                     dateutil.tz.win
import time:       921 |       1439 |                   dateutil.tz.tz
import time:      1268 |       4465 |                 dateutil.parser._parser
import time:       232 |        232 |                 dateutil.parser.isoparser
import time:       160 |       4855 |               dateutil.parser
import time:       206 |       5060 |             matplotlib.category
import time:      2178 |       2178 |             matplotlib.contour
import time:       695 |        695 |               dateutil.rrule
import time:       638 |       1333 |             matplotlib.dates
import time:       825 |        825 |             matplotlib.inset
import time:       207 |        207 |               matplotlib.container
import time:       369 |        369 |               matplotlib.legend_handler
import time:      1482 |       2057 |             matplotlib.legend
import time:      3221 |       3221 |             matplotlib.quiver
import time:        86 |         86 |               matplotlib._style_helpers
import time:       134 |        219 |             matplotlib.stackplot
import time:       289 |        289 |             matplotlib.streamplot
import time:       912 |        912 |               matplotlib.tri._triangulation
import time:      1131 |       1131 |               matplotlib.tri._tricontour
import time:       141 |        141 |               matplotlib.tri._trifinder
import time:       121 |        121 |                 matplotlib.tri._tritools
import time:       521 |        642 |               matplotlib.tri._triinterpolate
import time:       791 |        791 |               matplotlib.tri._tripcolor
import time:        97 |         97 |               matplotlib.tri._triplot
import time:       140 |        140 |               matplotlib.tri._trirefine
import time:       141 |       3991 |             matplotlib.tri
import time:      1738 |       1738 |             matplotlib.axes._secondary_axes
import time:     11013 |      31918 |           matplotlib.axes._axes
import time:       160 |      50985 |         matplotlib.axes
import time:      7301 |       7301 |         matplotlib.projections.geo
import time:      5509 |       5509 |         matplotlib.projections.polar
import time:       172 |        172 |           mpl_toolkits
import time:       140 |        140 |               mpl_toolkits.mplot3d.proj3d
import time:      8119 |       8259 |             mpl_toolkits.mplot3d.art3d
import time:      3628 |       3628 |             mpl_toolkits.mplot3d.axis3d
import time:      6142 |      18027 |           mpl_toolkits.mplot3d.axes3d
import time:       524 |      18723 |         mpl_toolkits.mplot3d
import time:       413 |      82929 |       matplotlib.projections
import time:      1470 |       1470 |       matplotlib.colorbar
import time:      4198 |      88683 |     matplotlib.figure
import time:      5638 |     410578 |   matplotlib.pyplot
import time:      1783 |       1783 |     cyclopts._version
import time:       379 |        379 |               attr._compat
import time:        73 |         73 |                 attr._config
import time:       187 |        187 |                   attr.exceptions
import time:        76 |        263 |                 attr.setters
import time:      3398 |       3733 |               attr._make
import time:       519 |       4630 |             attr.converters
import time:       123 |        123 |             attr.filters
import time:      3102 |       3102 |             attr.validators
import time:       136 |        136 |             attr._cmp
import time:       128 |        128 |             attr._funcs
import time:       118 |        118 |             attr._next_gen
import time:       479 |        479 |             attr._version_info
import time:       282 |       8995 |           attr
import time:       483 |        483 |           attrs.converters
import time:        63 |         63 |           attrs.exceptions
import time:        51 |         51 |           attrs.filters
import time:        51 |         51 |           attrs.setters
import time:        93 |         93 |           attrs.validators
import time:       205 |       9938 |         attrs
import time:      3506 |       3506 |         cyclopts.utils
import time:       206 |      13649 |       cyclopts.annotations
import time:       715 |        715 |         cyclopts.command_spec
import time:      1086 |       1086 |         cyclopts.group
import time:       635 |        635 |         cyclopts.token
import time:      6848 |       9282 |       cyclopts.exceptions
import time:       758 |        758 |       cyclopts.field_info
import time:       466 |      24154 |     cyclopts._convert
import time:       115 |        115 |     cyclopts._env_var
import time:       187 |        187 |     cyclopts._result_action
import time:       168 |        168 |     cyclopts._run
import time:      2123 |       2123 |         cyclopts.parameter
import time:       211 |        211 |         cyclopts.argument.utils
import time:      1912 |       4245 |       cyclopts.argument._argument
import time:       337 |        337 |       cyclopts.argument._collection
import time:       112 |       4693 |     cyclopts.argument
import time:       483 |        483 |         cyclopts.group_extractors
import time:       183 |        666 |       cyclopts.app_stack
import time:       343 |        343 |       cyclopts.bind
import time:      2240 |       2240 |           cyclopts.config._common
import time:       545 |        545 |           cyclopts.config._env
import time:       127 |        127 |           cyclopts.config._json
import time:        91 |         91 |           cyclopts.config._toml
import time:        75 |         75 |           cyclopts.config._yaml
import time:       131 |       3206 |         cyclopts.config
import time:        20 |       3226 |       cyclopts.config._env
import time:        71 |         71 |       cyclopts.panel
import time:       104 |        104 |       cyclopts.protocols
import time:       395 |        395 |       readline
import time:      3079 |       7881 |     cyclopts.core
import time:       328 |      39307 |   cyclopts
import time:       193 |        193 |             colorama.ansi
import time:        82 |         82 |               msvcrt
import time:       115 |        115 |               colorama.win32
import time:       163 |        359 |             colorama.winterm
import time:       346 |        897 |           colorama.ansitowin32
import time:       401 |       1297 |         colorama.initialise
import time:       126 |       1422 |       colorama
import time:       159 |        159 |           executing._utils
import time:        84 |         84 |             executing._exceptions
import time:       325 |        408 |           executing._position_node_finder
import time:       816 |       1382 |         executing.executing
import time:        71 |         71 |         executing._pytest_utils
import time:        52 |         52 |         executing.version
import time:       232 |       1736 |       executing
import time:       117 |        117 |       pygments
import time:       422 |        422 |         pygments.formatters._mapping
import time:       110 |        110 |             email
import time:       432 |        432 |                 zipfile._path.glob
import time:       594 |       1025 |               zipfile._path
import time:       685 |       1710 |             zipfile
import time:       576 |        576 |             importlib.metadata._meta
import time:       208 |        208 |             importlib.metadata._collections
import time:        83 |         83 |             importlib.metadata._functools
import time:        68 |         68 |             importlib.metadata._itertools
import time:       296 |        296 |             importlib.abc
import time:      1084 |       4133 |           importlib.metadata
import time:        81 |       4213 |         pygments.plugin
import time:       554 |        554 |         pygments.util
import time:       473 |       5660 |       pygments.formatters
import time:       459 |        459 |             pygments.styles._mapping
import time:       119 |        577 |           pygments.styles
import time:        98 |        675 |         pygments.formatter
import time:        98 |         98 |         pygments.console
import time:       454 |        454 |           pygments.token
import time:       237 |        690 |         pygments.style
import time:       202 |       1663 |       pygments.formatters.terminal256
import time:      2416 |       2416 |         pygments.lexers._mapping
import time:       269 |        269 |         pygments.modeline
import time:       203 |       2886 |       pygments.lexers
import time:        96 |         96 |           pygments.filter
import time:       349 |        349 |           pygments.filters
import time:       134 |        134 |           pygments.regexopt
import time:       426 |       1004 |         pygments.lexer
import time:       188 |        188 |         pygments.unistring
import time:       594 |       1785 |       pygments.lexers.python
import time:       259 |        259 |       icecream.coloring
import time:     19862 |      35387 |     icecream.icecream
import time:       205 |        205 |     icecream.builtins
import time:        70 |         70 |     icecream.__version__
import time:       242 |      35902 |   icecream
import time:       616 |        616 |     loguru._defaults
import time:       253 |        253 |           multiprocessing.process
import time:       235 |        235 |           multiprocessing.reduction
import time:       695 |       1182 |         multiprocessing.context
import time:       159 |       1341 |       multiprocessing
import time:        89 |         89 |               concurrent
import time:      1842 |       1842 |               concurrent.futures._base
import time:       461 |       2391 |             concurrent.futures
import time:       446 |        446 |               _ssl
import time:      1746 |       2192 |             ssl
import time:       205 |        205 |             asyncio.constants
import time:       103 |        103 |             asyncio.coroutines
import time:        89 |         89 |               asyncio.format_helpers
import time:        94 |         94 |                 asyncio.base_futures
import time:       143 |        143 |                 asyncio.exceptions
import time:        91 |         91 |                 asyncio.base_tasks
import time:       120 |        446 |               _asyncio
import time:       384 |        918 |             asyncio.events
import time:       178 |        178 |             asyncio.futures
